,kpkv,year,name_eng,name_ukr,m_1_plan,m_1_fact,m_1_nspend,m_2_plan,m_2_fact,m_2_nspend,m_3_plan,m_3_fact,m_3_nspend,m_4_plan,m_4_fact,m_4_nspend,m_5_plan,m_5_fact,m_5_nspend,m_6_plan,m_6_fact,m_6_nspend,m_7_plan,m_7_fact,m_7_nspend,m_8_plan,m_8_fact,m_8_nspend,m_9_plan,m_9_fact,m_9_nspend,m_10_plan,m_10_fact,m_10_nspend,m_11_plan,m_11_fact,m_11_nspend,m_12_plan,m_12_fact,m_12_nspend,Annual Plan
340,2201080,2021,"State awards, scholarships and grants in the field of education, science and technology, scholarships to winners of international competitions","Державні премії, стипендії та гранти в галузі освіти, науки і техніки, стипендії переможцям міжнародних конкурсів",9658400,7944354.78,1714045.22,5038400,4896036.82,1856408.4,4827800,4108197.82,2576010.58,6594500,4374959.36,4795551.22,5129300,4282744.16,5642107.06,5129300,4268081.8,6503325.26,5129300,5500730.74,6131894.52,5129300,4897241.8,6363952.72,5289400,4733348.17,6920004.55,5320600,4615168.15,7625436.4,5129300,4628573.04,8126163.36,4883400,11248220.34,1761343.02,67259000
341,2201100,2018,"Provision of education in secondary schools of social rehabilitation, boarding schools, boarding schools with enhanced military-physical training and other general educational institutions of state ownership","Надання освіти у загальноосвітніх школах соціальної реабілітації, загальноосвітніх ліцеях-інтернатах, гімназіях-інтернатах з посиленою військово-фізичною підготовкою та інших загальноосвітніх навчальних закладах державної форми власності",16816300,6236697.35,10579602.65,15984700,11314241.34,15250061.31,16073800,19060926.16,12262935.15,15700400,13750760.28,14212574.87,17978400,13272462.6,18918512.27,13008200,18220067.38,13706644.89,11732600,11578109.5,13861135.39,10681600,10299360.13,14243375.26,13967100,13774191.6,14436283.66,16602100,16485992.76,14552390.9,16099400,16492559.19,14159231.71,19210200,31389739.92,1979691.79,183854800
342,2201100,2019,"Provision of education in secondary schools of social rehabilitation, boarding schools, boarding schools with enhanced military-physical training and other general educational institutions of state ownership","Надання освіти у загальноосвітніх школах соціальної реабілітації, загальноосвітніх ліцеях-інтернатах, гімназіях-інтернатах з посиленою військово-фізичною підготовкою та інших загальноосвітніх навчальних закладах державної форми власності",18389600,11433000.02,6956599.98,19716000,15785374.05,10887225.93,17826000,16840065.75,11873160.18,15576200,15256696.85,12192663.33,20420700,13657233.81,18956129.52,0,5170900.76,9156828.76,6969000,7178602.93,8947225.83,6661300,6998387.4,8610138.43,12760200,12357201.37,9013137.06,13115500,13058955.59,9069681.47,14008100,13066605.29,10011176.18,13949400,22977267.01,983309.17,159392000
343,2201100,2020,Providing education by general secondary education institutions of state ownership,Надання освіти закладами загальної середньої освіти державної форми власності,19782800,7078626.02,12704173.98,20143900,17387116.98,15460957,17055900,13465954.63,19050902.37,13662100,11326764.64,21386237.73,20273300,12191845.79,29467691.94,15441618,18169853.87,26739456.07,7020200,8570587.76,25189068.31,7175300,7535504.85,24828863.46,14034000,14682860.58,24180002.88,15844300,14984498.06,25039804.82,21851500,13871623.28,33019681.54,13116782,38979150.78,7157312.76,185401700
344,2201100,2021,Providing education by general secondary education institutions of state ownership,Надання освіти закладами загальної середньої освіти державної форми власності,19841400,11886157.43,7955242.57,23584800,5162239.06,26377803.51,19392800,25496686.6,20273916.91,17562800,16601077.11,21235639.8,23676600,17675284.32,27236955.48,18719300,20643111.05,25313144.43,13853500,15437091.77,23729552.66,14203500,12062713.02,25870339.64,19004700,22752356.32,22122683.32,19448900,12686221.16,28885362.16,19662800,20671016.01,27877146.15,20768400,46303025.81,2342520.34,229719500
345,2201120,2018,"Ensuring the activities of the National Center ""Small Academy of Sciences of Ukraine"", providing extracurricular education by state extracurricular educational institutions, emergency activities","Забезпечення діяльності Національного центру «Мала академія наук України», надання позашкільної освіти державними позашкільними навчальними закладами, заходи з позашкільної роботи",5062900,3906747.14,1156152.86,7781500,6266411.51,2671241.35,9539300,7671146.83,4539394.52,10739500,12126918.85,3151975.67,7633700,7088462.98,3697212.69,8677600,8656409.64,3718403.05,7648100,7241596.88,4124906.17,7375900,6613928.44,4886877.73,7319600,6640636.76,5565840.97,7174200,6731673.67,6008367.3,7810300,9990022.44,3828644.86,9301300,13120446.62,9498.24,96063900
346,2201120,2019,"Ensuring the activities of the National Center ""Small Academy of Sciences of Ukraine"", providing extracurricular education by state extracurricular educational institutions, emergency activities","Забезпечення діяльності Національного центру «Мала академія наук України», надання позашкільної освіти державними позашкільними навчальними закладами, заходи з позашкільної роботи",12067100,7950696.96,4116403.04,13247500,9796485.85,7567417.19,13896200,12896120.62,8567496.57,15872000,13022097.54,11417399.03,22602300,17685438.45,16334260.58,35373500,14465399.8,37242360.78,30951900,13261192.31,54933068.47,9174200,9043403.51,55063864.96,10651100,13284752.83,52430212.13,10955500,13244176.87,50141535.26,11459600,32888366.88,28712768.38,10510600,38719083.09,504285.29,196761500
347,2201120,2020,"Ensuring the activities of the National Center ""Small Academy of Sciences of Ukraine"", providing extracurricular education by state institutions of extracurricular education, emergency activities","Забезпечення діяльності Національного центру «Мала академія наук України», надання позашкільної освіти державними закладами позашкільної освіти, заходи з позашкільної роботи",15403900,10285455.59,5118444.41,15160900,14360154.34,5919190.07,29747900,24302769.74,11364320.33,15049700,12508847.86,13905172.47,19032800,10574008.21,22363964.26,20895860,11755676.15,31504148.11,11045630,14689838.28,27859939.83,15372560,10743336.27,32489163.56,14899360,20803098.94,26585424.62,11954150,17807863.5,20731711.12,14871240,12911644.46,22691306.66,15272000,33104193.1,4859113.56,198706000
348,2201120,2021,"Ensuring the activities of the National Center ""Small Academy of Sciences of Ukraine"", providing extracurricular education by state institutions of extracurricular education, emergency activities","Забезпечення діяльності Національного центру «Мала академія наук України», надання позашкільної освіти державними закладами позашкільної освіти, заходи з позашкільної роботи",19925300,11828176.72,8097123.28,22329900,13881288.22,16545735.06,20847000,15611232.17,21781502.89,26148000,18509356.67,29420146.22,27610000,24801419.33,32228726.89,32406900,19270176.86,45365450.03,24999300,21760020.86,48604729.17,20745900,15794841.42,53555787.75,26820800,23772126.88,56604460.87,24673400,45929296.63,35348564.24,19072600,43117311.62,11303852.62,28104500,39277121.4,131231.22,293683600
349,2201130,2018,"Preparation of workers in vocational schools of social rehabilitation and adaptation, methodological support of vocational education institutions","Підготовка робітничих кадрів у професійно-технічних навчальних закладах соціальної реабілітації та адаптації, методичне забезпечення закладів професійно-технічної освіти",15009000,13110639.4,1898360.6,15507200,14376397.7,3029162.9,14976900,16202455.29,1803607.61,14652300,14036387.04,2419520.57,14657900,14251572.05,2825848.52,23318600,22743386.02,3401062.5,14804900,14578647.15,3627315.35,14840600,11803516.1,6664399.25,17135000,17373780.49,6425618.76,16137700,14129576.18,8433742.58,16748700,14822675.95,10359766.63,15764900,24924211.56,1200455.07,193553700
